id,CodigoBarras,Descripcion,Rubro,PrecioCosto,PorcIVA,PorcUtil,PrecioVenta,Proveedor,Stock,StockMin,StockMax,CtrlStock,Activo
73,7790150497951,ALICANTE SABORIZADOR Y BOLSA P/HORNO,Almacén,1752.07,21.0,0.0,2120.0,null,0,0,0,false,true
74,7790150498057,ALICANTE SABORIZADOR Y BOLSA PARA HORNO,Almacén,0.0,21.0,0.0,1980.0,null,0,0,0,false,true
75,7790150497852,ALICANTE SABORIZADOR Y BOLSA PARA HORNO,Almacén,0.0,21.0,0.0,1980.0,null,0,0,0,false,true
76,7791540049767,ALMA MORA BLEND TINTO,Bebidas con Alcohol,0.0,21.0,0.0,4180.0,null,0,0,0,false,true
77,7790380037767,ALMENDRAS CON CHOCOLATE GEORGALOS,Fiestas,2107.44,21.0,0.0,2550.0,null,0,0,0,false,true
78,7794000007451,ALMIDON DE MAIZ MAIZENA 220 GRS,Almacén,2000.0,0.0,0.0,2000.0,null,0,0,0,false,true
79,7794000598065,ALMIDON DE MAIZ MAIZENA 500 GRS,Almacén,0.0,0.0,0.0,0.0,null,0,0,0,false,true
"80,7790950133271,""AMARGO TERMA LIMON 1,35 LTS"",Bebidas sin Alcohol,0.0,0.0,0.0,1750.0,null,0,0,0,false,true"
"81,7790950133363,""AMARGO TERMA POMELO ROSADO 1,35 LTS"",Bebidas sin Alcohol,0.0,0.0,0.0,1750.0,null,0,0,0,false,true"
"82,7790950133318,""AMARGO TERMA SERRANO 1,35 LTS"",Bebidas sin Alcohol,0.0,0.0,0.0,1750.0,null,0,0,0,false,true"
83,7790950000191,AMERICANO GANCIA 450 CC,Bebidas con Alcohol,3560.0,0.0,0.0,3560.0,null,0,0,0,false,true
84,7790950000160,AMERICANO GANCIA 950 CC,Bebidas con Alcohol,5900.0,0.0,0.0,5900.0,null,0,0,0,false,true
85,7791293049465,ANTITRASPIRANTE REXONA MEN,Perfumería,0.0,21.0,0.0,3300.0,null,0,0,0,false,true
86,7790950001969,APERITIVO AMARGO OBRERO 900 ML,Bebidas con Alcohol,4200.0,0.0,0.0,4200.0,null,0,0,0,false,true
87,7891136057029,APERITIVO APEROL,Bebidas con Alcohol,8347.11,21.0,0.0,10100.0,null,0,0,0,false,true
88,7891136052000,APERITIVO CAMPARI 750 ML,Bebidas con Alcohol,11100.0,0.0,0.0,11100.0,null,0,0,0,false,true
89,7792410779357,APERITIVO RAMAZZOTTI,Bebidas con Alcohol,6776.86,21.0,0.0,8200.0,null,0,0,0,false,true
90,7790580607418,ARCOR BLANCO CHOCOLATE 25 GRS,Galletitas y Golosinas,850.0,0.0,0.0,850.0,null,0,0,0,false,true
91,7790580607210,ARCOR CHOCOLATE CON LECHE 25 GRS,Galletitas y Golosinas,850.0,0.0,0.0,850.0,null,0,0,0,false,true
92,7798273211027,AROMATIZANTE CON DIFUSOR LAVANDA,Limpieza,0.0,21.0,0.0,1300.0,null,0,0,0,false,true
93,7798273210358,AROMATIZANTE DE AMBIENTE EN AEROSOL AROMAS,Limpieza,0.0,0.0,0.0,1300.0,null,0,0,0,false,true
94,7798273210020,AROMATIZANTE DE AMBIENTES EN AEROSOL AROMAS,Limpieza,0.0,0.0,0.0,1300.0,null,0,0,0,false,true
95,7790047001100,AROMATIZANTE SMELL FRESH ROSAS,Bazar,0.0,21.0,0.0,4100.0,null,0,0,0,false,true
96,7790047001117,AROMATIZANTE SMELL FRESH ROYAL,Bazar,0.0,21.0,0.0,4100.0,null,0,0,0,false,true
97,7790070431455,ARROZ GALLO LARGO FINO,Almacén,0.0,21.0,0.0,2040.0,null,0,0,0,false,true
98,7790070433114,ARROZ GALLO ORO 500 GRS,Almacén,0.0,21.0,0.0,1680.0,null,-3,0,0,false,true
99,7790070431493,ARROZ LUCHETTI 500G,Almacén,1200.0,0.0,0.0,1200.0,null,0,0,0,false,true
100,7790070432254,ARROZ PREPARADO VEGETALES,Almacén,1735.54,21.0,0.0,2100.0,null,0,0,0,false,true
101,7798048721874,ARVEJAS ELIO 400 GRS,Almacén,0.0,0.0,0.0,660.0,null,0,0,0,false,true
102,7795933000298,ATUN BAHIA DESMENUZADO AL NATURAL 170 GRS,Almacén,1950.0,0.0,0.0,1950.0,null,2,0,0,false,true
103,7795933000281,ATUN BAHIA DESMENUZADO EN ACEITE Y AGUA 170 GRS,Almacén,0.0,0.0,0.0,1950.0,null,1,0,0,false,true
104,7795933000496,ATUN BAHIA LOMITOS EN ACEITE Y AGUA 170 GRS,Almacén,3407.14,0.0,40.0,4770.0,null,1,0,0,false,true
105,7793360129940,ATUN DESMENUZADO EN ACEITE Y AGUA LA CAMPAGNOLA,Almacén,2314.05,21.0,0.0,2800.0,null,0,0,0,false,true
106,7793360129957,ATUN DESMENUZADO LA CAMPAGNOLA AL NATURAL 170 GRS,Almacén,2800.0,0.0,0.0,2800.0,null,0,0,0,false,true
